epsilon,episode_length,cumulative_reward
0.995,565,-2125.9722222222244
0.990025,535,-2832.0277777777837
0.985074875,413,-1723.2499999999964
0.9801495006250001,422,-2685.7777777777846
0.9752487531218751,415,-2305.5777777777707
0.9703725093562657,420,-2512.0055555555546
0.9655206468094844,397,-2742.2499999999973
0.960693043575437,393,-2258.222222222219
0.9558895783575597,407,-2055.4944444444427
0.9511101304657719,404,-1272.1611111111076
0.946354579813443,414,-2297.272222222223
0.9416228069143757,418,-1286.277777777776
0.9369146928798039,426,-2185.4444444444434
0.9322301194154049,431,-2285.377777777779
0.9275689688183278,436,-2228.9722222222204
0.9229311239742362,431,-2152.4833333333313
0.918316468354365,430,-2556.194444444444
0.9137248860125932,395,-1771.9722222222183
0.9091562615825302,383,-1587.922222222222
0.9046104802746175,409,-1658.8055555555513
0.9000874278732445,393,-1147.3166666666662
0.8955869907338783,400,-1966.4166666666636
0.8911090557802088,445,-2653.777777777778
0.8866535105013078,452,-1443.5388888888876
0.8822202429488013,439,-2297.3944444444423
0.8778091417340573,438,-2672.000000000004
0.8734200960253871,428,-2072.3444444444417
0.8690529955452602,410,-1835.916666666664
0.8647077305675338,449,-2792.8055555555547
0.8603841919146962,446,-2294.638888888885
0.8560822709551227,435,-2368.155555555558
0.851801859600347,418,-1740.333333333333
0.8475428503023453,426,-1005.8388888888885
0.8433051360508336,480,-1834.4944444444423
0.8390886103705794,613,-2008.1222222222184
0.8348931673187264,609,-3261.8833333333346
0.8307187014821328,618,-2374.8666666666645
0.8265651079747222,563,-3215.027777777786
0.8224322824348486,578,-1287.9333333333332
0.8183201210226743,614,-1696.1833333333298
0.8142285204175609,620,-2870.688888888886
0.810157377815473,594,-2250.0277777777837
0.8061065909263957,609,-2169.383333333331
0.8020760579717637,613,-809.8777777777774
0.798065677681905,592,-1784.5055555555498
0.7940753492934954,570,-2309.0499999999956
0.7901049725470279,571,-2960.8222222222234
0.7861544476842928,569,-2236.8166666666643
0.7822236754458713,579,-2375.783333333325
0.778312557068642,606,-2429.9888888888845
0.7744209942832988,595,-2174.8666666666663
0.7705488893118823,498,-1899.4166666666738
0.7666961448653229,581,-3555.5833333333435
0.7628626641409962,587,-2028.9666666666612
0.7590483508202912,572,-3379.1944444444484
0.7552531090661897,557,-3018.8555555555663
0.7514768435208588,571,-2732.972222222214
0.7477194593032545,581,-2322.683333333335
0.7439808620067382,594,-2460.08333333333
0.7402609576967045,597,-1431.272222222223
0.736559652908221,598,-3227.9388888889
0.7328768546436799,578,-2130.105555555551
0.7292124703704616,551,-2880.777777777771
0.7255664080186093,563,-2765.999999999995
0.7219385759785162,539,-2112.0222222222214
0.7183288830986236,565,-2710.405555555552
0.7147372386831305,599,-3001.9944444444473
0.7111635524897149,584,-2629.399999999997
0.7076077347272662,541,-2107.4722222222185
0.7040696960536299,589,-3301.172222222221
0.7005493475733617,587,-2647.2777777777815
0.697046600835495,556,-1811.1888888888864
0.6935613678313175,586,-1696.6111111111086
0.6900935609921609,631,-2572.138888888884
0.6866430931872001,614,-2482.8388888888976
0.6832098777212641,610,-2848.1888888889034
0.6797938283326578,621,-2281.8333333333335
0.6763948591909945,591,-2427.2611111111037
0.6730128848950395,596,-2609.516666666665
0.6696478204705644,617,-1992.7777777777776
0.6662995813682115,604,-2156.061111111109
0.6629680834613705,586,-3162.027777777777
0.6596532430440636,563,-2008.4388888888868
0.6563549768288433,577,-2315.5555555555547
0.653073201944699,571,-1908.5499999999977
0.6498078359349755,11,1151.611111111111
0.6465587967553006,380,-71.91111111111081
0.6433260027715241,582,-1228.1444444444412
0.6401093727576664,588,-2541.80555555555
0.6369088258938781,602,-1829.655555555549
0.6337242817644086,585,-1862.5388888888886
0.6305556603555866,572,-1587.7
0.6274028820538087,345,258.13333333333287
0.6242658676435396,562,-1283.9499999999987
0.6211445383053219,581,-1686.8888888888857
0.6180388156137953,612,-2250.127777777776
0.6149486215357263,603,-2105.744444444442
0.6118738784280476,565,-1938.9055555555533
0.6088145090359074,546,-917.7777777777764
0.6057704364907278,481,-343.3499999999908
0.6027415843082742,536,-1144.8333333333303
0.5997278763867329,545,-1664.4499999999973
0.5967292370047992,580,-1228.361111111108
0.5937455908197752,530,-2262.6611111111033
0.5907768628656763,608,-1260.299999999996
0.5878229785513479,620,-1547.2000000000005
0.5848838636585911,622,-1966.6444444444423
0.5819594443402982,606,-2302.105555555552
0.5790496471185967,598,-1239.4055555555553
0.5761543988830038,603,-2162.555555555552
0.5732736268885887,604,-3539.8055555555675
0.5704072587541458,600,-2014.499999999998
0.567555222460375,557,-1694.7888888888858
0.5647174463480732,610,-2470.561111111112
0.5618938591163328,597,-2682.900000000005
0.5590843898207511,597,-1888.6388888888885
0.5562889678716474,625,-1509.3888888888866
0.5535075230322891,606,-971.5888888888866
0.5507399854171277,567,-985.9944444444442
0.547986285490042,606,-1683.2055555555512
0.5452463540625918,583,-1659.6222222222202
0.5425201222922789,615,-1539.3111111111095
0.5398075216808175,587,-571.8833333333336
0.5371084840724134,588,-1942.0499999999956
0.5344229416520513,597,-1778.4666666666615
0.531750826943791,596,-2767.916666666659
0.5290920728090721,7,1119.4333333333334
0.5264466124450268,578,-1739.2722222222146
0.5238143793828016,605,-1760.205555555555
0.5211953074858876,491,-1660.6888888888823
0.5185893309484582,444,-793.3555555555544
0.5159963842937159,4,24.06111111111111
0.5134164023722473,471,-911.422222222222
0.510849320360386,453,-786.7777777777773
0.5082950737585841,123,1060.1277777777777
0.5057535983897912,437,-809.472222222221
0.5032248303978422,449,-541.494444444445
0.500708706245853,564,-326.2666666666653
0.4982051627146237,527,-971.0388888888874
0.49571413690105054,542,-1445.7777777777735
0.4932355662165453,568,-533.1388888888861
0.4907693883854626,534,-2358.155555555553
0.4883155414435353,543,-1992.372222222216
0.4858739637363176,568,-873.8222222222226
0.483444593917636,546,-1875.9611111111046
0.4810273709480478,554,-1477.8777777777777
0.47862223409330756,561,-1720.7555555555534
0.47622912292284103,544,-1358.127777777777
0.4738479773082268,567,-2035.7722222222146
0.47147873742168567,529,-1822.7277777777742
0.46912134373457726,518,-1889.5833333333326
0.46677573701590436,351,778.7222222222221
0.46444185833082485,34,1209.8722222222223
0.46211964903917074,562,-802.3388888888879
0.4598090507939749,568,-1052.9833333333333
0.457510005540005,543,-1327.6666666666613
0.45522245551230495,544,-1679.2777777777744
0.4529463432347434,534,-1777.7888888888838
0.4506816115185697,554,-1337.8777777777766
0.4484282034609769,525,-2566.7499999999945
0.446186062443672,544,-2047.2722222222205
0.4439551321314536,574,-968.2555555555552
0.4417353564707963,530,-2124.138888888889
0.43952667968844233,584,-825.6555555555533
0.43732904629000013,536,-924.2611111111103
0.4351424010585501,546,-600.6333333333331
0.43296668905325736,531,-1614.1666666666624
0.43080185560799106,564,-1500.533333333332
0.4286478463299511,529,-940.4722222222202
0.42650460709830135,475,-1297.5277777777749
0.42437208406280985,442,-1524.627777777777
0.4222502236424958,554,-669.4833333333329
0.42013897252428334,142,1194.9222222222222
0.4180382776616619,532,-1503.7833333333303
0.4159480862733536,557,-1251.4944444444436
0.41386834584198684,527,-1800.144444444442
0.4117990041127769,559,-579.5722222222221
0.40974000909221303,549,-1318.7777777777785
0.40769130904675194,509,-2934.5833333333358
0.40565285250151817,591,-1339.555555555554
0.4036245882390106,546,-1461.1555555555522
0.4016064652978155,562,-1072.644444444444
0.3995984329713264,550,-782.6666666666652
0.3976004408064698,538,-696.2833333333311
0.39561243860243744,537,-1232.0166666666646
0.3936343764094253,564,-605.3944444444437
0.39166620452737816,563,-2140.744444444446
0.3897078735047413,556,-1411.883333333332
0.3877593341372176,1,1082.4333333333334
0.3858205374665315,524,-1886.9388888888834
0.38389143477919885,543,-2375.2000000000025
0.3819719776053028,564,-1091.7555555555532
0.3800621177172763,525,-688.1222222222193
0.37816180712868996,561,883.5500000000006
0.37627099809304654,539,-539.1388888888881
0.3743896431025813,549,-1035.238888888884
0.37251769488706843,545,-1281.3277777777748
0.3706551064126331,527,-1400.2499999999982
0.36880183088056995,548,-1487.661111111112
0.3669578217261671,537,-1548.9277777777738
0.36512303261753626,509,-1390.0222222222196
0.3632974174544486,563,-261.55555555555543
0.3614809303671764,564,-713.916666666666
0.3596735257153405,1,1081.2333333333333
0.3578751580867638,81,1042.7555555555557
0.35608578229633,534,-1241.8055555555522
0.3543053533848483,544,-2725.5388888888892
0.35253382661792404,525,-980.1833333333337
0.3507711574848344,557,-866.8222222222228
0.34901730169741024,557,-730.3944444444429
0.3472722151889232,548,-197.57777777777736
0.3455358541129786,552,-1742.8000000000002
0.3438081748424137,529,-1991.311111111107
0.3420891339682016,543,-1480.8611111111095
0.3403786882983606,534,-1307.8222222222232
0.3386767948568688,533,1012.6666666666658
0.33698341088258443,545,213.3722222222218
0.3352984938281715,127,518.11111111111
0.33362200135903064,505,-1157.4499999999996
0.33195389135223546,554,-256.7222222222224
0.3302941218954743,570,-809.4555555555542
0.32864265128599696,560,-400.5555555555552
0.326999438029567,546,-1061.1055555555542
0.3253644408394192,607,574.0333333333328
0.3237376186352221,594,-564.8444444444435
0.322118930542046,618,-1116.0777777777757
0.32050833588933575,550,-1284.3499999999974
0.31890579420988907,313,798.5444444444441
0.3173112652388396,4,1104.711111111111
0.3157247089126454,561,-2620.6333333333323
0.3141460853680822,614,41.44999999999936
0.3125753549412418,609,78.82222222222133
0.31101247816653554,598,-259.72777777777793
0.30945741577570285,609,62.79999999999922
0.3079101286968243,478,1255.4833333333327
0.3063705780533402,611,-223.71111111111108
0.30483872516307353,531,711.6222222222235
0.3033145315372582,612,-1089.9499999999973
0.3017979588795719,593,-861.6055555555542
0.30028896908517405,573,-662.6000000000003
0.2987875242397482,572,474.1388888888887
0.29729358661854943,608,805.0166666666673
0.29580711868545667,601,-80.31111111111119
0.2943280830920294,627,453.56111111111136
0.29285644267656924,566,-109.01111111111148
0.2913921604631864,576,-470.76111111110913
0.28993519966087045,639,18.54999999999907
0.2884855236625661,643,-1064.7833333333317
0.28704309604425327,650,243.7388888888888
0.285607880564032,621,-632.4277777777784
0.28417984116121187,580,-370.7444444444442
0.2827589419554058,579,-121.01111111111143
0.28134514724562876,589,205.4888888888882
0.2799384215094006,1,1081.2333333333333
0.27853872940185365,597,567.5722222222216
0.27714603575484437,589,884.0277777777782
0.2757603055760701,638,-79.86111111111124
0.2743815040481898,87,1161.2111111111112
0.2730095965279488,603,-1292.1999999999925
0.27164454854530906,601,437.9111111111112
0.2702863258025825,180,1074.9
0.2689348941735696,596,736.8888888888893
0.26759021970270175,606,1346.8388888888924
0.2662522686041882,162,937.6388888888889
0.2649210072611673,3,1093.7
0.26359640222486147,28,1152.9222222222222
0.26227842021373715,629,34.199999999999875
0.2609670281126685,325,1286.0833333333333
0.25966219297210513,614,1470.5388888888936
0.2583638820072446,629,1014.6111111111115
0.2570720625972084,3,1094.6277777777777
0.25578670228422234,617,1216.7555555555555
0.25450776877280124,565,380.8499999999988
0.2532352299289372,192,1353.211111111111
0.2519690537792925,594,-555.2555555555551
0.2507092085103961,617,114.44999999999975
0.2494556624678441,607,-288.866666666667
0.24820838415550486,1,1081.2333333333333
0.24696734223472733,574,-833.8000000000001
0.2457325055235537,622,-544.7611111111099
0.24450384299593592,575,1.2833333333328136
0.24328132378095624,461,-443.5666666666659
0.24206491716205145,600,-673.6333333333325
0.2408545925762412,19,1163.8055555555554
0.23965031961336,420,994.7777777777775
0.2384520680152932,1,1081.2333333333333
0.23725980767521673,203,27.92222222222225
0.23607350863684065,398,1440.0444444444447
0.23489314109365644,293,1717.577777777778
0.23371867538818816,577,456.2888888888888
0.23255008201124722,609,55.77222222222174
0.231387331601191,566,355.53888888888787
0.23023039494318503,580,617.86111111111
0.2290792429684691,435,1292.572222222222
0.22793384675362674,583,43.005555555556185
0.22679417751985861,560,722.8444444444448
0.22566020663225933,543,-378.5277777777768
0.22453190559909803,517,-1089.0611111111054
0.22340924607110255,473,1889.8277777777764
0.22229219984074702,530,-1616.6611111111104
0.2211807388415433,180,-12.538888888888925
0.22007483514733558,581,-446.3444444444448
0.2189744609715989,588,-1611.794444444442
0.2178795886667409,589,288.1333333333335
0.2167901907234072,587,616.1611111111108
0.21570623976979014,515,-957.6499999999997
0.21462770857094118,555,821.8055555555552
0.21355457002808648,5,1104.3722222222223
0.21248679717794605,2,1087.9333333333334
0.21142436319205632,616,237.57777777777733
0.21036724137609603,215,1278.411111111111
0.20931540516921554,38,1208.427777777778
0.20826882814336947,52,1288.6999999999998
0.20722748400265262,22,1189.4611111111112
0.20619134658263935,566,44.788888888888465
0.20516038984972615,485,1009.7222222222218
0.2041345879004775,520,619.1111111111118
0.2031139149609751,1,1082.4333333333334
0.20209834538617025,179,1214.1722222222222
0.2010878536592394,574,-135.94999999999942
0.2000824143909432,334,812.0666666666673
0.19908200231898848,2,1090.3333333333333
0.19808659230739353,245,534.5222222222231
0.19709615934585656,1,1081.2333333333333
0.19611067854912728,55,1279.0833333333335
0.19513012515638165,2,1089.1333333333334
0.19415447453059972,53,1106.4888888888888
0.19318370215794672,214,1063.2777777777778
0.192217783647157,1,1082.4333333333334
0.1912566947289212,464,512.9777777777778
0.1903004112552766,441,-1738.9555555555532
0.18934890919900021,18,1167.4388888888889
0.18840216465300522,542,-506.27222222222053
0.18746015382974018,532,707.3000000000001
0.1865228530605915,14,1127.1666666666667
0.18559023879528855,448,-531.8222222222215
0.1846622876013121,239,1218.427777777778
0.18373897616330553,465,165.52777777777723
0.182820281282489,438,-331.1111111111107
0.18190617987607657,476,-105.60000000000049
0.18099664897669618,469,154.40555555555676
0.1800916657318127,13,1121.7333333333333
0.17919120740315364,9,1135.3055555555557
0.17829525136613786,613,809.9333333333351
0.17740377510930716,23,1190.988888888889
0.17651675623376062,447,1216.6888888888886
0.1756341724525918,136,1454.9166666666667
0.17475600159032884,189,1312.6388888888887
0.17388222158237718,5,1105.8444444444444
0.1730128104744653,191,820.8833333333332
0.17214774642209296,237,984.661111111111
0.1712870076899825,280,1203.405555555556
0.17043057265153258,401,1338.0666666666666
0.16957841978827493,12,1119.4611111111112
0.16873052768933355,3,1094.3444444444444
0.1678868750508869,423,992.9833333333335
0.16704744067563246,36,1109.3555555555556
0.1662122034722543,65,967.1499999999999
0.16538114245489302,459,435.45555555555563
0.16455423674261854,65,1207.9777777777776
0.16373146555890544,517,261.3833333333327
0.16291280823111093,505,221.59444444444492
0.16209824418995536,3,1094.7611111111112
0.16128775296900558,15,1149.4833333333333
0.16048131420416054,5,1117.4888888888888
0.15967890763313974,348,1543.4277777777777
0.15888051309497406,260,1172.761111111111
0.1580861105294992,197,1304.4166666666667
0.1572956799768517,88,1313.2333333333333
0.15650920157696743,16,1129.0166666666667
0.1557266555690826,19,1135.5722222222223
0.1549480222912372,44,1184.5222222222221
0.15417328217978102,7,1109.4055555555556
0.1534024157688821,76,1199.5944444444444
0.1526354036900377,278,845.7444444444443
0.1518722266715875,63,1203.7166666666667
0.15111286553822956,203,1396.8777777777777
0.15035730121053842,68,1229.8944444444444
0.14960551470448571,1,1083.5
0.14885748713096328,72,1226.4388888888889
0.14811319969530845,115,1229.0944444444444
0.1473726336968319,71,1167.6944444444443
0.14663577052834775,108,1166.0
0.14590259167570602,158,1226.2944444444445
0.1451730787173275,347,1024.9166666666665
0.14444721332374086,254,1542.8277777777778
0.14372497725712216,2,1090.3333333333333
0.14300635237083656,553,102.57777777777773
0.14229132060898236,449,1404.2388888888888
0.14157986400593744,67,1094.8333333333333
0.14087196468590776,318,1741.9222222222224
0.14016760486247823,87,1078.0111111111112
0.13946676683816583,23,1156.9833333333333
0.138769433003975,386,431.5777777777787
0.13807558583895513,51,1123.2944444444443
0.13738520790976036,243,1243.794444444444
0.13669828187021155,380,788.3388888888895
0.13601479046086049,42,1177.8888888888887
0.1353347165085562,194,886.1111111111104
0.1346580429260134,350,1438.1222222222218
0.13398475271138335,288,1193.8777777777777
0.13331482894782642,145,1218.7944444444445
0.13264825480308728,164,1057.2777777777778
0.13198501352907185,420,1363.7222222222222
0.1313250884614265,387,1250.9111111111117
0.13066846301911936,52,1124.0111111111112
0.13001512070402377,239,1249.6166666666663
0.12936504510050365,82,1240.7055555555555
0.12871821987500112,350,1321.5944444444442
0.12807462877562611,373,1416.5333333333333
0.12743425563174798,243,1339.0666666666666
0.12679708435358925,72,1292.0555555555557
0.1261630989318213,403,1267.1611111111108
0.1255322834371622,215,1285.2388888888888
0.12490462201997637,266,1582.7055555555564
0.1242800989098765,19,1149.6166666666666
0.12365869841532712,37,1248.3277777777778
0.12304040492325048,49,1171.388888888889
0.12242520289863423,20,1145.4055555555556
0.12181307688414106,339,1330.1499999999996
0.12120401149972035,90,1329.6888888888889
0.12059799144222175,3,1096.6222222222223
0.11999500148501063,8,1120.7666666666667
0.11939502647758558,42,1272.888888888889
0.11879805134519765,112,1277.0944444444444
0.11820406108847166,369,1854.7055555555553
0.1176130407830293,397,1145.6111111111109
0.11702497557911415,435,1522.261111111111
0.11643985070121858,73,1259.838888888889
0.11585765144771248,22,1152.1333333333332
0.11527836319047392,43,1196.9722222222222
0.11470197137452155,24,1146.0666666666668
0.11412846151764894,251,1008.8944444444446
0.1135578192100607,34,1130.9055555555556
0.11299003011401039,23,1111.4444444444443
0.11242507996344034,158,1342.8111111111111
0.11186295456362313,49,1197.8166666666666
0.11130363979080501,276,1095.15
0.11074712159185099,125,1270.7888888888888
0.11019338598389174,60,1215.1944444444446
0.10964241905397228,2,1090.3333333333333
0.10909420695870241,1,1084.7
0.1085487359239089,95,1186.711111111111
0.10800599224428936,8,1121.4611111111112
0.10746596228306791,95,1109.0944444444444
0.10692863247165257,77,1096.95
0.1063939893092943,115,1022.3777777777776
0.10586201936274783,75,1121.088888888889
0.10533270926593409,148,868.7277777777776
0.10480604571960442,237,1163.1555555555556
0.1042820154910064,15,1155.838888888889
0.10376060541355137,102,1152.9555555555555
0.1032418023864836,459,1274.427777777778
0.10272559337455119,2,1087.9333333333334
0.10221196540767843,450,2131.488888888888
0.10170090558064004,162,1311.9888888888886
0.10119240105273684,23,1193.0222222222221
0.10068643904747315,147,874.8777777777779
0.10018300685223579,367,518.6388888888885
0.0996820918179746,6,1121.8000000000002
0.09918368135888474,401,1097.3777777777775
0.09868776295209031,458,1193.8722222222218
0.09819432413732986,292,1009.2166666666668
0.09770335251664321,17,1161.5055555555555
0.09721483575406,114,1378.638888888889
0.09672876157528969,86,1185.7
0.09624511776741324,127,1355.7666666666667
0.09576389217857617,46,1140.0611111111111
0.09528507271768329,5,1102.1777777777777
0.09480864735409487,39,970.961111111111
0.0943346041173244,203,1295.7777777777778
0.09386293109673778,13,1117.038888888889
